Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
computer,2025-03-13 21:40:33+00:00,"heretical opinion: listening to OK Computer, according to Spotify the most plays is... No Surprises (900million)

wtf! No Surprises sucks, I've always thought so

and it is the track immediately after the masterpiece Climbing Up the Walls (56 million)

you all have no taste",heretical opinion listening ok computer according spotify play surprise million wtf surprise suck always thought track immediately masterpiece climbing wall million taste,"['heretical', 'opinion', 'listening', 'ok', 'computer', 'according', 'spotify', 'play', 'surprise', 'million', 'wtf', 'surprise', 'suck', 'always', 'thought', 'track', 'immediately', 'masterpiece', 'climbing', 'wall', 'million', 'taste']"
computer,2025-03-13 21:40:33+00:00,"Using twitter on PC specifically google chrome will be the death of me, I feel like im using a computer that was just invented.. why is it so slow and bad ;~;",using twitter pc specifically google chrome death feel like im using computer invented slow bad,"['using', 'twitter', 'pc', 'specifically', 'google', 'chrome', 'death', 'feel', 'like', 'im', 'using', 'computer', 'invented', 'slow', 'bad']"
computer,2025-03-13 21:40:30+00:00,Everything Computer https://t.co/fYGi5srOQi https://t.co/7blj4wNxJC,everything computer,"['everything', 'computer']"
computer,2025-03-13 21:40:26+00:00,"@libsoftiktok @FBI Ah, the insane people with a computer. This is pure ignorance-stupidity-moronic.

What a dopey rat looking freak.",ah insane people computer pure dopey rat looking freak,"['ah', 'insane', 'people', 'computer', 'pure', 'dopey', 'rat', 'looking', 'freak']"
computer,2025-03-13 21:40:24+00:00,"The researchers performed a comparative test to compare the performance of several computer programs, which resulted in data.",researcher performed comparative test compare performance several computer program resulted data,"['researcher', 'performed', 'comparative', 'test', 'compare', 'performance', 'several', 'computer', 'program', 'resulted', 'data']"
computer,2025-03-13 21:40:23+00:00,@lemiscate The World Computer.💎,world,['world']
computer,2025-03-13 21:40:18+00:00,"@reshetz I could forgive them posting propaganda slop on the timeline, but working on a computer in a room lit by bright LEDs is subhuman behavior.",could forgive posting propaganda slop timeline working computer room lit bright led subhuman behavior,"['could', 'forgive', 'posting', 'propaganda', 'slop', 'timeline', 'working', 'computer', 'room', 'lit', 'bright', 'led', 'subhuman', 'behavior']"
computer,2025-03-13 21:40:16+00:00,@Rainmaker1973 Everything is a computer... TRUMP,everything computer trump,"['everything', 'computer', 'trump']"
computer,2025-03-13 21:40:15+00:00,"@Vegasguy391 @JimChuong I'll explain Bitcoin. It's a computer program generating logical, encrypted numbers tracked as they're traded for money. Each imaginary coin trade adds a traceable encryption layer. Bitcoin's value exists because people believe it does.",explain bitcoin computer program generating logical encrypted number tracked traded money imaginary coin trade add traceable encryption layer bitcoin value exists people believe,"['explain', 'bitcoin', 'computer', 'program', 'generating', 'logical', 'encrypted', 'number', 'tracked', 'traded', 'money', 'imaginary', 'coin', 'trade', 'add', 'traceable', 'encryption', 'layer', 'bitcoin', 'value', 'exists', 'people', 'believe']"
computer,2025-03-13 21:40:11+00:00,"@hubdotxyz I'd love to see Fei-Fei Li join Hub Builders, bringing AI and computer vision expertise. Her involvement could advance AI agents, drive collaborations, and integrate secure decentralized AI solutions, enhancing magical internet experiences.",love see li join hub builder bringing ai computer vision expertise involvement could advance ai agent drive collaboration integrate secure decentralized ai solution enhancing magical internet experience,"['love', 'see', 'li', 'join', 'hub', 'builder', 'bringing', 'ai', 'computer', 'vision', 'expertise', 'involvement', 'could', 'advance', 'ai', 'agent', 'drive', 'collaboration', 'integrate', 'secure', 'decentralized', 'ai', 'solution', 'enhancing', 'magical', 'internet', 'experience']"
computer,2025-03-13 21:40:10+00:00,@lav3nder_blonde @plasticmattyy @ladygaga if you have apple music on a computer you can download an mp3 file and drag it into Apple music and if you have it auto synced to your library it will automatically be on your phone,apple music computer download mp file drag apple music auto synced library automatically phone,"['apple', 'music', 'computer', 'download', 'mp', 'file', 'drag', 'apple', 'music', 'auto', 'synced', 'library', 'automatically', 'phone']"
computer,2025-03-13 21:40:04+00:00,"Startup Cognixion, which has developed a noninvasive brain-computer interface, has begun a clinical trial for patients with ALS. (Photo: Cognixion) https://t.co/O0rzaKYWOP https://t.co/YCafAa1aLa",startup cognixion developed noninvasive interface begun clinical trial patient al photo cognixion,"['startup', 'cognixion', 'developed', 'noninvasive', 'interface', 'begun', 'clinical', 'trial', 'patient', 'al', 'photo', 'cognixion']"
computer,2025-03-13 21:40:02+00:00,@Ha3cyon No computer?,computer,['computer']
computer,2025-03-13 21:39:58+00:00,"Yeah! they're ""Dwarves"" that are computer generated which took jobs away from actual real life Dwarves and the computer generated ones are also just as tall as snow white making them no longer DWARVES!!!!! Disney you fools!!!!! https://t.co/oejzaMOcup",yeah dwarf computer generated took job away actual real life dwarf computer generated one also tall snow white making longer dwarf disney fool,"['yeah', 'dwarf', 'computer', 'generated', 'took', 'job', 'away', 'actual', 'real', 'life', 'dwarf', 'computer', 'generated', 'one', 'also', 'tall', 'snow', 'white', 'making', 'longer', 'dwarf', 'disney', 'fool']"
computer,2025-03-13 21:39:53+00:00,@AutismCapital Felt like it was only Tuesday that everything is computer  - where does time go 🫂,felt like tuesday everything computer time go,"['felt', 'like', 'tuesday', 'everything', 'computer', 'time', 'go']"
computer,2025-03-13 21:39:52+00:00,Digital Creator | Computer Engineer | Entrepreneur | Blending  Maurita Southcott https://t.co/vrVjWa44J0,digital creator computer engineer entrepreneur blending maurita southcott,"['digital', 'creator', 'computer', 'engineer', 'entrepreneur', 'blending', 'maurita', 'southcott']"
computer,2025-03-13 21:39:45+00:00,i love sitting on my floor with my little computer and hitting the teenage girl texting pose https://t.co/mqwn5eq1EJ,love sitting floor little computer hitting teenage girl texting pose,"['love', 'sitting', 'floor', 'little', 'computer', 'hitting', 'teenage', 'girl', 'texting', 'pose']"
computer,2025-03-13 21:39:39+00:00,"""I told my computer I needed a break, and it froze. 🖥️ Time for a reboot? Restart with a fresh job in JOB LOCATION. Dive in here!"" https://t.co/N4O3MEGPyK #RocketJobs #job",told computer needed break froze time reboot restart fresh job job location dive,"['told', 'computer', 'needed', 'break', 'froze', 'time', 'reboot', 'restart', 'fresh', 'job', 'job', 'location', 'dive']"
computer,2025-03-13 21:39:35+00:00,@naiivememe In computer terms this is called bubble sorting 😭😭😹,computer term called bubble sorting,"['computer', 'term', 'called', 'bubble', 'sorting']"
computer,2025-03-13 21:39:34+00:00,Fat coded pwz computer https://t.co/W2gg1qxPoT,fat coded pwz computer,"['fat', 'coded', 'pwz', 'computer']"
