Category,Created_At,Original_Tweet,Cleaned_Text,Tokenized_Text
coffee,2025-03-13 20:45:36+00:00,Just got my morning coffee with a hint of cardamom - such a refreshing twist! Can't wait to share this delightful discovery at our upcoming book club meeting,got morning coffee hint cardamom refreshing twist ca wait share delightful discovery upcoming book club meeting,"['got', 'morning', 'coffee', 'hint', 'cardamom', 'refreshing', 'twist', 'ca', 'wait', 'share', 'delightful', 'discovery', 'upcoming', 'book', 'club', 'meeting']"
coffee,2025-03-13 20:45:36+00:00,"A beautiful day ahead! Can't wait to explore that new bookstore downtown and find some hidden gems Coffee, books, and sunlight – a perfect combo for a Saturda",beautiful day ahead ca wait explore new bookstore downtown find hidden gem coffee book sunlight perfect combo saturda,"['beautiful', 'day', 'ahead', 'ca', 'wait', 'explore', 'new', 'bookstore', 'downtown', 'find', 'hidden', 'gem', 'coffee', 'book', 'sunlight', 'perfect', 'combo', 'saturda']"
coffee,2025-03-13 20:45:36+00:00,"Enjoying the crisp autumn air today! The leaves changing color just never gets old Warm cup of coffee in hand, perfect start to the day!",enjoying crisp autumn air today leaf changing color never get old warm cup coffee hand perfect start day,"['enjoying', 'crisp', 'autumn', 'air', 'today', 'leaf', 'changing', 'color', 'never', 'get', 'old', 'warm', 'cup', 'coffee', 'hand', 'perfect', 'start', 'day']"
coffee,2025-03-13 20:45:35+00:00,"Afternoon walk with the dog, such a beautiful day! Wish I could savor every moment like this coffee I'm sipping",afternoon walk dog beautiful day wish could savor every moment like coffee sipping,"['afternoon', 'walk', 'dog', 'beautiful', 'day', 'wish', 'could', 'savor', 'every', 'moment', 'like', 'coffee', 'sipping']"
coffee,2025-03-13 20:45:35+00:00,"With more people working remotely from coffee shops &amp; beyond, my approach is prioritizing laptop-first, though coded as mobile-first for loading speeds. Prioritizing min-width queries with clamps to cap the max width for elements.",people working remotely coffee shop amp beyond approach prioritizing though coded loading speed prioritizing query clamp cap max width element,"['people', 'working', 'remotely', 'coffee', 'shop', 'amp', 'beyond', 'approach', 'prioritizing', 'though', 'coded', 'loading', 'speed', 'prioritizing', 'query', 'clamp', 'cap', 'max', 'width', 'element']"
coffee,2025-03-13 20:45:34+00:00,"@hubdotxyz I’d love to see a “Data Whisperer” builder in the next round! Imagine training AI while sipping coffee and chatting with your data. @PublicAIData, make it happen! 😂",love see data whisperer builder next round imagine training ai sipping coffee chatting data make happen,"['love', 'see', 'data', 'whisperer', 'builder', 'next', 'round', 'imagine', 'training', 'ai', 'sipping', 'coffee', 'chatting', 'data', 'make', 'happen']"
coffee,2025-03-13 20:45:32+00:00,Just came across this amazing little coffee shop on my way home The aroma is divine! Can't wait to try their latte art tomorrow morning,came across amazing little coffee shop way home aroma divine ca wait try latte art tomorrow morning,"['came', 'across', 'amazing', 'little', 'coffee', 'shop', 'way', 'home', 'aroma', 'divine', 'ca', 'wait', 'try', 'latte', 'art', 'tomorrow', 'morning']"
coffee,2025-03-13 20:45:32+00:00,Just enjoyed a fantastic cup of coffee at my favorite local café this afternoon The aroma alone was enough to lift my spirits! 😋,enjoyed fantastic cup coffee favorite local café afternoon aroma alone enough lift spirit,"['enjoyed', 'fantastic', 'cup', 'coffee', 'favorite', 'local', 'café', 'afternoon', 'aroma', 'alone', 'enough', 'lift', 'spirit']"
coffee,2025-03-13 20:45:31+00:00,"Just enjoyed a delightful cup of coffee at my favorite local café The aroma was heavenly and the taste, pure bliss Can't wait for tomorrow's brew!",enjoyed delightful cup coffee favorite local café aroma heavenly taste pure bliss ca wait tomorrow brew,"['enjoyed', 'delightful', 'cup', 'coffee', 'favorite', 'local', 'café', 'aroma', 'heavenly', 'taste', 'pure', 'bliss', 'ca', 'wait', 'tomorrow', 'brew']"
coffee,2025-03-13 20:45:30+00:00,"Just enjoyed a fantastic cup of coffee at my favorite local cafe, the aroma was simply intoxicating! 😌",enjoyed fantastic cup coffee favorite local cafe aroma simply intoxicating,"['enjoyed', 'fantastic', 'cup', 'coffee', 'favorite', 'local', 'cafe', 'aroma', 'simply', 'intoxicating']"
coffee,2025-03-13 20:45:28+00:00,Savoring a delightful cup of coffee this morning - its aroma warms me up on this chilly day Feeling grateful for these simple pleasures,savoring delightful cup coffee morning aroma warms chilly day feeling grateful simple pleasure,"['savoring', 'delightful', 'cup', 'coffee', 'morning', 'aroma', 'warms', 'chilly', 'day', 'feeling', 'grateful', 'simple', 'pleasure']"
